L/W,H/P,Wi/Wo,P/Wu,CPK obs,Predicted_CPK
5.99,0.19145,1.0,1.25,2.58308,2.037288485
5.99,0.25539,1.0,1.25,2.16007,1.9445307269999996
5.99,0.32096,1.0,1.25,1.88651,1.849408328
5.99,0.37618,1.0,1.25,1.70894,1.7693006739999997
5.99,0.43613,1.0,1.25,1.60542,1.682331209
5.99,0.48572,1.0,1.25,1.52314,1.610390996
5.99,0.52641,1.0,1.25,1.50738,1.5513620129999999
5.99,0.16874,1.2247191011236,1.25,2.91286,2.1597394999775297
5.99,0.20526,1.2247191011236,1.25,2.54949,2.10675993597753
5.99,0.24722,1.2247191011236,1.25,2.31364,2.0458885639775297
5.99,0.30244,1.2247191011236,1.25,2.08191,1.9657809099775299
5.99,0.34294,1.2247191011236,1.25,1.89611,1.90702755997753
5.99,0.39925,1.2247191011236,1.25,1.76722,1.8253386429775298
5.99,0.47264,1.2247191011236,1.25,1.60336,1.7188717699775298
5.08140531276778,0.16594,1.49699879951981,0.843616109682948,2.538602,2.2276303910124073
5.08140531276778,0.19192,1.49699879951981,0.843616109682948,2.4240436,2.189941205012407
5.08140531276778,0.2173,1.49699879951981,0.843616109682948,2.3323564,2.1531224390124075
5.08140531276778,0.24298,1.49699879951981,0.843616109682948,2.2149644,2.115868463012407
5.08140531276778,0.28799,1.49699879951981,0.843616109682948,2.0350814,2.0505724560124072
5.08140531276778,0.37287,1.49699879951981,0.843616109682948,1.7871414,1.9274370400124072
5.08140531276778,0.46168,1.49699879951981,0.843616109682948,1.5891942,1.7986003730124074
5.08140531276778,0.54355,1.49699879951981,0.843616109682948,1.456521,1.6798315640124075
5.08140531276778,0.64324,1.49699879951981,0.843616109682948,1.3162578,1.5352112810124074
5.08140531276778,0.73266,1.49699879951981,0.843616109682948,1.2266452,1.4054896870124074
5.08140531276778,0.78612,1.49699879951981,0.843616109682948,1.1780186,1.3279352650124074
5.08140531276778,0.83718,1.49699879951981,0.843616109682948,1.1391578,1.2538625230124074
5.0796573875803,0.15205,1.24972972972973,0.843254817987152,2.5754388,2.1490515426896817
5.0796573875803,0.16322,1.24972972972973,0.843254817987152,2.5178054,2.132847223689682
5.0796573875803,0.17319,1.24972972972973,0.843254817987152,2.4802602,2.1183837446896816
5.0796573875803,0.19102,1.24972972972973,0.843254817987152,2.3976304,2.0925177636896817
5.0796573875803,0.19857,1.24972972972973,0.843254817987152,2.3629188,2.081564978689682
5.0796573875803,0.21005,1.24972972972973,0.843254817987152,2.317733,2.0649109426896817
5.0796573875803,0.2176,1.24972972972973,0.843254817987152,2.285096,2.053958157689682
5.0796573875803,0.24569,1.24972972972973,0.843254817987152,2.181619,2.0132079946896817
5.0796573875803,0.2759,1.24972972972973,0.843254817987152,2.0684268,1.969382347689682
5.0796573875803,0.30883,1.24972972972973,0.843254817987152,1.9350958,1.921610796689682
5.0796573875803,0.34599,1.24972972972973,0.843254817987152,1.8287852,1.8677027846896816
5.0796573875803,0.37015,1.24972972972973,0.843254817987152,1.7683688,1.832653872689682
5.0796573875803,0.40248,1.24972972972973,0.843254817987152,1.6926712,1.7857527416896817
5.0796573875803,0.43299,1.24972972972973,0.843254817987152,1.6315464,1.7414918846896819
5.0796573875803,0.4635,1.24972972972973,0.843254817987152,1.573913,1.6972310276896816
5.0796573875803,0.4925,1.24972972972973,0.843254817987152,1.5252864,1.6551607276896814
5.0796573875803,0.50851,1.24972972972973,0.843254817987152,1.50029,1.6319350206896814
5.0796573875803,0.52573,1.24972972972973,0.843254817987152,1.4801512,1.6069539666896815
5.0796573875803,0.55443,1.24972972972973,0.843254817987152,1.440582,1.5653188766896817
5.0796573875803,0.58916,1.24972972972973,0.843254817987152,1.39403,1.5149360656896813
5.0796573875803,0.62149,1.24972972972973,0.843254817987152,1.3579016,1.4680349346896815
5.0796573875803,0.6529,1.24972972972973,0.843254817987152,1.3218238,1.4224684476896816
5.0796573875803,0.68251,1.24972972972973,0.843254817987152,1.2919192,1.3795132206896814
5.0796573875803,0.71544,1.24972972972973,0.843254817987152,1.2613568,1.3317416696896816
5.0796573875803,0.74897,1.24972972972973,0.843254817987152,1.2301366,1.2830996986896817
5.0796573875803,0.77948,1.24972972972973,0.843254817987152,1.2023572,1.2388388416896814
5.0796573875803,0.8121,1.24972972972973,0.843254817987152,1.1794354,1.1915170076896815
5.0796573875803,0.84443,1.24972972972973,0.843254817987152,1.1530222,1.1446158766896817
5.0796573875803,0.87222,1.24972972972973,0.843254817987152,1.1384494,1.1043009236896815
5.0796573875803,0.88974,1.24972972972973,0.843254817987152,1.1301004,1.0788846596896815
5.0796573875803,0.90726,1.24972972972973,0.843254817987152,1.1168938,1.0534683956896815
5.0796573875803,0.9269,1.24972972972973,0.843254817987152,1.1085954,1.0249766476896816
5.08490566037736,0.1741,1.0,0.844339622641509,2.3719256,2.018322280943397
5.08490566037736,0.19887,1.0,0.844339622641509,2.2677402,1.9823884419433966
5.08490566037736,0.22968,1.0,0.844339622641509,2.1288432,1.9376923749433967
5.08490566037736,0.25687,1.0,0.844339622641509,2.0121596,1.8982478419433966
5.08490566037736,0.30883,1.0,0.844339622641509,1.8468494,1.8228694699433967
5.08490566037736,0.39251,1.0,0.844339622641509,1.6378208,1.7014748939433966
5.08490566037736,0.48374,1.0,0.844339622641509,1.4711444,1.5691275329433967
5.08490566037736,0.565,1.0,0.844339622641509,1.3703998,1.4512436509433966
5.08490566037736,0.65925,1.0,0.844339622641509,1.2759802,1.3145151759433966
